,_id,device_id,latitude,longitude,type,SO2,CO,NO2,PM1_0,PM2_5,PM10_0,temperature,humidity,per_bat,free_sd,cnt_err_wifi,cnt_err_lte,cnt_err_sd,cnt_packet,time,AQI
384,61ae7b419d066a7099469351,fimi_15,21.005694450000004,105.84380555000001,fimi,0.0703,0.9693,-0.4802,46.2,48.0,52.8,25.3,50.4,83.63,15392896,177119,12093,4691,,2021-12-07 04:06:06,131.50000277500015
385,616fbfeee66c30339e5a9c6a,fimi_9,21.005694450000004,105.84380555000001,fimi,0.1964,-2.0829,-0.4847,11.7,12.8,18.2,42.0,47.2,88.37,15458368,1488,21,0,1489,2021-10-20 14:06:06,
386,6162f35754811a2870135177,fimi_30,21.005739166666665,105.84428506666667,fimi,0.0125,-2.0365,-0.4277,13.2,13.8,14.4,27.7,74.3,83.54,15406240,8810,1653,0,,2021-10-10 21:06:07,
387,61a3fd5bfb44687a2cc577d5,fimi_25,21.00579805,105.84430211666668,fimi,0.068,-2.9185,-0.5148,12.2,13.5,18.4,25.7,47.4,81.81,15338592,84458,1537,244271,,2021-11-29 05:06:06,
388,617149ace66c30339e5f2798,fimi_19,21.018896383333338,105.82807065,fimi,0.185,0.9461,-0.4266,10.4,11.1,14.5,30.9,58.2,80.59,15451168,1141,1,0,,2021-10-21 18:06:06,
389,619777119736e9db0d751a11,fimi_30,21.005789533333335,105.84431896666668,fimi,0.0906,-1.1429,-0.4277,24.7,26.1,28.8,29.1,61.6,46.38,15337472,637,1,0,,2021-11-19 17:06:06,
390,61ac64e20facef69219d5ff8,fimi_20,21.005801166666668,105.84427775,fimi,-0.0144,-294.3999,-0.4836,16.5,18.4,24.6,32.0,40.0,82.9,15323040,79656,785,79665,,2021-12-05 14:06:07,
391,61aa94d90facef692198a809,fimi_23,21.005694450000004,105.84380555000001,fimi,0.1272,-3.5916,-0.5048,22.9,24.3,29.9,25.9,43.4,29.54,15381056,13292,101,0,,2021-12-04 05:06:07,
392,6164b55654811a287018b9c1,fimi_20,21.0057964,105.84429045,fimi,0.0064,-210.3999,-0.4825,16.8,17.6,20.1,27.3,62.6,89.08,15410528,69345,10804,0,,2021-10-12 05:06:06,
393,61747942e66c30339e6bc640,fimi_25,21.005802366666664,105.84428968333334,fimi,0.029,-3.7193,-0.5148,25.3,27.6,32.5,26.8,48.3,84.36,15367008,5995,123,0,,2021-10-24 04:06:06,
394,617181e1e66c30339e5fc629,fimi_27,21.00581496666667,105.84428664999999,fimi,0.0343,-2.5704,-0.4277,13.7,14.7,16.7,25.4,65.0,33.27,15459392,20043,736,0,,2021-10-21 22:06:06,
395,617d353120be12f18c85f50b,fimi_25,21.005784450000004,105.84430528333333,fimi,0.0348,-3.081,-0.5148,10.5,11.3,14.1,26.3,59.9,84.77,15354016,3981,163,0,,2021-10-30 19:06:06,
396,6195c32334b40397d4699b05,fimi_23,21.005694450000004,105.84380555000001,fimi,0.0594,-3.8121,-0.5048,12.5,13.5,17.8,27.5,50.5,32.39,15413504,19576,1199,0,,2021-11-18 10:06:06,
397,619cbd12a8fa46fe2df9f1e3,fimi_29,21.005723233333335,105.84426756666666,fimi,0.0594,-2.2686,-0.5037,19.1,20.3,23.9,25.1,55.9,28.1,15356960,246,0,0,,2021-11-23 17:06:06,
398,61a7f1d58118b006b4efc089,fimi_29,21.005838949999998,105.84431503333332,fimi,0.2753,-1.9553,-0.5037,36.3,37.6,41.3,22.3,56.5,28.04,15339904,268,0,0,,2021-12-02 05:06:06,
399,61757663e66c30339e701729,fimi_9,21.005694450000004,105.84380555000001,fimi,0.3631,2.3039,-0.4813,10.2,11.0,14.5,30.9,57.4,72.7,15449632,11866,171,0,,2021-10-24 22:06:07,
400,617dcfe120be12f18c87d40f,fimi_2,21.005789116666666,105.84429661666667,fimi,-0.0451,0.5863,-0.4724,17.1,17.8,18.9,24.5,70.9,28.14,15365824,50799,7002,0,,2021-10-31 06:06:06,
401,619ab4c604afb2412d83c6a3,fimi_20,21.005694450000004,105.84380555000001,fimi,0.0181,-233.4715,-0.4825,12.2,13.2,15.3,27.7,64.4,82.33,15341696,2443,28,0,,2021-11-22 04:06:06,
402,61a28fb7a515430fcc13bb26,fimi_25,21.005810716666662,105.8442891,fimi,0.0625,-2.8373,-0.5148,8.9,10.3,15.1,24.2,47.8,83.15,15338592,78223,1480,225588,,2021-11-28 03:06:06,
403,61a0dbcc651e4f9f496ea922,fimi_1,21.005795283333335,105.84429436666666,fimi,0.1629,44.8145,-0.4556,21.3,22.5,26.4,29.4,56.6,88.26,15315616,66726,1512,0,,2021-11-26 20:06:06,
404,61ac1e970facef69219ca7aa,fimi_25,21.00578146666667,105.84430150000001,fimi,0.0896,-2.2918,-0.516,16.7,18.4,24.8,30.1,39.6,81.2,15338496,15574,158,46570,,2021-12-05 09:06:06,
405,619f8a46aeaacf20f4ff214c,fimi_30,21.005805083333332,105.84428828333333,fimi,0.2208,1.3987,-0.4277,27.9,29.8,32.9,25.0,58.5,30.73,15324992,10816,53,0,,2021-11-25 20:06:06,
406,6170f546e66c30339e5e45d8,fimi_20,21.005798033333335,105.84426935000002,fimi,-0.0033,-211.4444,-0.4825,10.9,11.7,14.2,26.5,61.7,83.18,15392288,17656,692,0,,2021-10-21 12:06:06,
407,616d6331e66c30339e5401dc,fimi_2,21.005859166666664,105.8443028,fimi,0.0483,6.6443,-0.4724,12.5,13.7,15.2,24.8,68.4,30.91,15389632,8256,1810,0,,2021-10-18 19:06:06,
408,618056c120be12f18c8f15f8,fimi_20,21.005799733333333,105.84427720000001,fimi,0.0201,-220.5431,-0.4825,15.0,15.8,17.3,26.3,68.2,86.11,15373088,30096,3533,0,,2021-11-02 04:06:06,
409,61a4d042fb44687a2cca2754,fimi_14,21.005838983333334,105.84426980000002,fimi,0.5372,9.0815,-0.5383,49.8,51.4,55.1,28.8,59.4,82.4,0,1416,2,4250,,2021-11-29 20:06:06,
410,619aa6b204afb2412d839a8e,fimi_29,21.005694450000004,105.84380555000001,fimi,0.0564,-3.0114,-0.5037,20.9,21.7,23.0,29.2,70.6,27.77,15360128,332,2,0,,2021-11-22 03:06:06,
411,61acff9debbcef4cfbd5c8db,fimi_29,21.005865983333333,105.84430598333331,fimi,0.1908,-0.4117,-0.5037,50.0,51.6,54.8,24.4,61.2,27.21,15332992,664,0,0,,2021-12-06 01:06:06,140.50000142500008
412,617f91e120be12f18c8d003c,fimi_30,21.00579235,105.8442992,fimi,0.0673,-1.2589,-0.4288,11.8,12.6,14.3,27.3,67.6,83.36,15364352,669,3,0,,2021-11-01 14:06:06,
413,618742a120be12f18ca071bb,fimi_10,21.005694450000004,105.84380555000001,fimi,-0.1136,-4.3112,-0.2836,15.1,16.3,19.2,32.9,60.5,83.88,15373728,52314,29618,0,52315,2021-11-07 10:06:06,
414,6166e7d154811a28701ff287,fimi_27,21.00581686666667,105.8443242,fimi,0.029,-2.8141,-0.4277,13.6,14.4,16.0,26.9,68.5,32.73,15474784,107171,14413,0,,2021-10-13 21:06:06,
415,6198ac765d2493cc886826a7,fimi_30,21.00576145,105.8442857,fimi,0.0693,-1.8972,-0.4277,17.7,19.1,22.2,32.5,59.2,41.88,15335616,5913,39,0,,2021-11-20 15:06:06,
416,61866fbb20be12f18c9d8fd4,fimi_30,21.005839116666667,105.84431428333333,fimi,0.1107,-1.5723,-0.4277,14.9,16.0,18.7,31.3,61.9,84.36,15353664,8313,160,0,,2021-11-06 19:06:06,
417,6194d5e8430aa02b513caa00,fimi_15,21.005694450000004,105.84380555000001,fimi,0.0066,-1.9669,-0.4802,13.3,14.0,16.5,26.9,62.5,83.01,15432992,65120,8291,0,,2021-11-17 17:12:47,
418,61a370b1917519c430927223,fimi_14,21.00580198333334,105.84430353333333,fimi,0.1462,0.5863,-0.5383,35.5,36.8,40.4,29.5,58.3,84.36,0,249,4,749,,2021-11-28 19:06:07,
419,616274cb54811a2870120e8e,fimi_2,21.00580525,105.84428561666667,fimi,-0.0449,-0.7947,-0.4724,14.9,15.6,17.3,28.8,68.1,28.91,15405952,24252,6146,0,,2021-10-10 12:06:06,
420,616363d254811a2870148271,fimi_30,21.005773583333333,105.84430986666666,fimi,0.0059,-2.141,-0.4277,17.1,18.1,19.1,27.7,72.9,81.66,15405536,10728,1679,0,,2021-10-11 05:06:06,
421,61aecfa79d066a709947698b,fimi_29,21.005694450000004,105.84380555000001,fimi,0.0635,-2.2106,-0.5037,33.2,34.6,34.1,29.4,82.2,25.21,15330272,294,0,0,,2021-12-07 10:06:06,98.2905985594273
422,6162bb1154811a287012b26e,fimi_21,21.005694450000004,105.84380555000001,fimi,1.8352,-4.1139,-0.4445,12.0,12.7,14.7,31.3,66.6,61.14,0,470,1,1412,,2021-10-10 17:06:06,
423,6194f03c2d55a7effd216c68,fimi_25,21.005825766666664,105.8442694,fimi,0.0493,-2.7793,-0.5148,11.6,12.5,16.5,27.0,53.4,87.0,15339136,18760,1022,51697,,2021-11-17 19:06:06,
424,61a42781fb44687a2cc65929,fimi_2,21.005745666666666,105.84429886666666,fimi,0.0328,4.5322,-0.4735,24.6,25.7,28.8,25.8,59.7,32.48,15311808,23013,235,0,,2021-11-29 08:06:06,
425,6170aef1e66c30339e5d4162,fimi_6,21.005794416666664,105.84427634999999,fimi,0.0701,-2.315,-0.4579,12.1,12.6,14.0,29.1,70.6,37.49,15386048,89301,13419,0,,2021-10-21 07:06:06,
426,616e5241e66c30339e5689c8,fimi_6,21.00583406666666,105.84428758333334,fimi,0.0899,-1.5027,-0.4579,11.8,12.3,13.3,27.3,71.9,40.3,15389824,78987,13311,0,,2021-10-19 12:06:06,
427,617076b6e66c30339e5ca087,fimi_27,21.00577506666667,105.84432038333334,fimi,0.0371,-2.7909,-0.4277,24.3,26.0,27.4,29.3,70.7,32.56,15461024,15487,683,0,,2021-10-21 03:06:06,
428,61817e1120be12f18c921ec1,fimi_30,21.005762983333337,105.84426706666666,fimi,0.0432,-1.8392,-0.4277,11.3,12.1,13.6,26.5,68.3,82.73,15361376,9062,77,0,,2021-11-03 01:06:06,
429,61994726cc7717670b63d9c5,fimi_20,21.005694450000004,105.84380555000001,fimi,0.0069,-240.516,-0.4825,22.2,23.7,25.2,28.3,69.8,83.73,15343936,2310,31,0,,2021-11-21 02:06:06,
