,_id,temperature,humidity,CO,CO2,NO2,O3,SO2,er_init_sensor,er_read_sensor,er_out_of_range,er_system,type,device_id,sampling_interval,PM2_5,PM10_0,time
36,6167d71e54811a287022e45e,23.38,83.41,0.28,461.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,8.0,8.0,2021-10-14 07:07:06
37,6183e92120be12f18c953013,26.89,77.66,0.297,458.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,44.0,55.0,2021-11-04 14:07:25
38,61656c6154811a28701b2981,27.31,59.7,0.968,457.0,0.0,0.0,0.006,0,0,0,0,envitus,70B3D509805D,60,17.0,20.0,2021-10-12 11:07:10
39,616774a554811a287021a402,23.6,81.44,0.286,468.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,14.0,14.0,2021-10-14 00:06:58
40,618718dc20be12f18c9fe091,27.15,85.96,0.351,452.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,44.0,55.0,2021-11-07 00:07:54
41,6173d0b3e66c30339e68cddd,27.39,50.02,0.317,437.0,0.0,0.0,0.0,0,0,0,0,envitus,70B3D509805D,60,34.0,38.0,2021-10-23 09:06:57
42,61809d6020be12f18c8fd47a,23.53,86.3,1.543,538.0,0.0,0.003,0.004,0,0,0,0,envitus,70B3D509805D,60,49.0,62.0,2021-11-02 02:07:25
43,6180b9ab20be12f18c902083,23.53,85.79,0.714,523.0,0.0,0.003,0.004,0,0,0,0,envitus,70B3D509805D,60,38.0,45.0,2021-11-02 04:08:08
44,61673c8d54811a287020fa85,23.71,82.27,0.039,460.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,6.0,6.0,2021-10-13 20:07:38
45,6169d18854811a287028eb4a,21.99,92.02,0.083,486.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,12.0,13.0,2021-10-15 19:07:49
46,616c03ee9d4daad11f443d45,22.71,69.92,0.705,484.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,25.0,27.0,2021-10-17 11:07:23
47,6172633ae66c30339e625d15,23.01,57.8,0.266,455.0,0.0,0.0,0.0,0,0,0,0,envitus,70B3D509805D,60,6.0,6.0,2021-10-22 07:07:34
48,6167046454811a2870204e4c,24.6,80.95,0.065,458.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,25.0,27.0,2021-10-13 16:08:01
49,616dfe2fe66c30339e55a14e,21.3,90.09,0.372,497.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,22.0,24.0,2021-10-18 23:07:24
50,617076fce66c30339e5ca13d,26.84,87.71,0.208,481.0,0.0,0.004,0.001,0,0,0,0,envitus,70B3D509805D,60,54.0,67.0,2021-10-20 20:07:20
51,61868c0920be12f18c9df746,27.19,82.51,0.315,431.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,50.0,62.0,2021-11-06 14:07:01
52,616c90849d4daad11f45c754,19.95,81.49,0.103,480.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,10.0,10.0,2021-10-17 21:07:12
53,6170e7ade66c30339e5e2012,22.45,77.96,0.389,477.0,0.0,0.001,0.002,0,0,0,0,envitus,70B3D509805D,60,5.0,5.0,2021-10-21 04:08:10
54,61744136e66c30339e6acc8c,22.79,63.89,0.182,460.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,37.0,44.0,2021-10-23 17:06:59
55,617edb4d20be12f18c8ae156,22.33,88.38,0.226,502.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,23.0,24.0,2021-10-31 18:07:06
56,61721d06e66c30339e618240,21.37,68.1,0.371,472.0,0.0,0.002,0.002,0,0,0,0,envitus,70B3D509805D,60,9.0,10.0,2021-10-22 02:08:04
57,617e6aca20be12f18c899c63,22.67,87.77,1.023,496.0,0.0,0.002,0.005,0,0,0,0,envitus,70B3D509805D,60,38.0,47.0,2021-10-31 10:07:04
58,617006aae66c30339e5b6173,29.09,74.96,0.649,458.0,0.0,0.003,0.004,0,0,0,0,envitus,70B3D509805D,60,36.0,44.0,2021-10-20 12:08:04
59,617dec7e20be12f18c882d0c,22.03,84.56,0.571,497.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,32.0,38.0,2021-10-31 01:08:10
60,6180490120be12f18c8ef0eb,22.88,85.87,0.257,503.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,27.0,29.0,2021-11-01 20:07:25
61,6172efe8e66c30339e64d39c,21.04,64.22,0.243,467.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,34.0,41.0,2021-10-22 17:07:49
62,616928a954811a2870271bdd,22.68,89.88,0.275,478.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,7.0,7.0,2021-10-15 07:07:19
63,616ff87be66c30339e5b3958,30.03,71.41,0.743,453.0,0.0,0.003,0.004,0,0,0,0,envitus,70B3D509805D,60,33.0,38.0,2021-10-20 11:07:36
64,616c2e2b9d4daad11f44b241,20.99,78.83,0.312,481.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,12.0,14.0,2021-10-17 14:07:37
65,616e6ebae66c30339e56d9ef,27.14,72.69,0.322,470.0,0.0,0.002,0.0,0,0,0,0,envitus,70B3D509805D,60,39.0,48.0,2021-10-19 07:07:34
66,617eb13a20be12f18c8a6822,22.56,88.44,0.744,508.0,0.0,0.003,0.003,0,0,0,0,envitus,70B3D509805D,60,36.0,42.0,2021-10-31 15:07:35
67,6170a125e66c30339e5d1991,26.83,87.29,0.374,479.0,0.0,0.0,0.002,0,0,0,0,envitus,70B3D509805D,60,50.0,63.0,2021-10-20 23:07:14
68,616782c154811a287021d149,24.47,76.95,0.645,468.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,12.0,12.0,2021-10-14 01:07:09
69,61713c00e66c30339e5f01d8,22.95,69.55,0.672,471.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,9.0,9.0,2021-10-21 10:07:57
70,6182271920be12f18c93c53e,30.56,64.86,0.547,482.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,48.0,60.0,2021-11-03 06:07:18
71,61858f0c20be12f18c9a7c38,25.69,88.36,0.142,447.0,0.0,0.004,0.001,0,0,0,0,envitus,70B3D509805D,60,37.0,46.0,2021-11-05 20:07:37
72,6167bb1954811a2870228a3a,23.82,80.12,0.283,463.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,5.0,6.0,2021-10-14 05:07:33
73,6186e08d20be12f18c9f1cd3,26.52,87.27,0.076,437.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,29.0,32.0,2021-11-06 20:07:38
74,616e60bbe66c30339e56b28f,26.87,73.39,0.328,474.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,38.0,45.0,2021-10-19 06:07:52
75,61835c7f20be12f18c9431e9,31.27,63.81,0.138,440.0,0.0,0.0,0.0,0,0,0,0,envitus,70B3D509805D,60,35.0,42.0,2021-11-04 04:07:25
76,6183407320be12f18c9425b0,29.96,69.06,0.24,449.0,0.0,0.0,0.001,0,0,0,0,envitus,70B3D509805D,60,36.0,43.0,2021-11-04 02:07:43
77,617e166b20be12f18c88aa18,22.92,83.9,0.69,498.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,40.0,49.0,2021-10-31 04:07:04
78,6165344f54811a28701a656e,29.88,55.02,0.192,448.0,0.0,0.0,0.001,0,0,0,0,envitus,70B3D509805D,60,14.0,14.0,2021-10-12 07:07:56
79,617ee96f20be12f18c8b0a66,22.24,88.88,0.214,502.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,22.0,24.0,2021-10-31 19:07:25
80,61843d8a20be12f18c9630e1,25.37,88.37,0.208,477.0,0.0,0.005,0.002,0,0,0,0,envitus,70B3D509805D,60,49.0,63.0,2021-11-04 20:07:34
81,618742ec20be12f18ca072c2,31.57,66.57,0.137,415.0,0.0,0.001,0.0,0,0,0,0,envitus,70B3D509805D,60,28.0,29.0,2021-11-07 03:07:20
82,61680f5f54811a28702398e5,22.26,88.37,0.662,477.0,0.0,0.003,0.003,0,0,0,0,envitus,70B3D509805D,60,11.0,13.0,2021-10-14 11:07:08
83,61690ca454811a287026b300,22.82,91.0,0.428,484.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,11.0,10.0,2021-10-15 05:07:45
84,6163643554811a287014837b,24.79,90.41,0.198,486.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,32.0,34.0,2021-10-10 22:07:46
85,616c82839d4daad11f459fbe,20.15,85.96,0.124,480.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,16.0,16.0,2021-10-17 20:07:27
86,61648b7c54811a287018399e,24.72,75.72,0.204,490.0,0.0,0.002,0.0,0,0,0,0,envitus,70B3D509805D,60,31.0,37.0,2021-10-11 19:07:37
87,6171ba79e66c30339e60673b,21.94,71.03,0.115,469.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,8.0,8.0,2021-10-21 19:07:34
88,617d279920be12f18c85c82b,21.01,86.31,0.488,480.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,11.0,12.0,2021-10-30 11:08:06
89,616d7fabe66c30339e544fc0,20.92,88.1,0.471,492.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,12.0,14.0,2021-10-18 14:07:36
90,618556b320be12f18c99c25f,26.26,85.27,0.201,440.0,0.0,0.004,0.001,0,0,0,0,envitus,70B3D509805D,60,40.0,49.0,2021-11-05 16:07:13
91,616d8db3e66c30339e54766f,20.96,87.91,0.394,492.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,15.0,17.0,2021-10-18 15:07:28
92,6163805b54811a287014cd51,24.5,92.14,0.435,497.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,10.0,11.0,2021-10-11 00:07:52
93,618386b820be12f18c94448f,33.0,56.73,0.178,427.0,0.0,0.0,0.002,0,0,0,0,envitus,70B3D509805D,60,11.0,11.0,2021-11-04 07:07:33
